Cohort,Cohort Size,Num Features,Model,Accuracy_Formatted,Brier_Score_Formatted,F1_Score_Formatted,PR_AUC_Formatted,Precision_Formatted,ROC_AUC_Formatted,Recall_Sensitivity_Formatted,Specificity_Formatted
Nationwide Cohort,339308,2077,SAINT Transformer,0.4689 (0.4652 - 0.4723),0.2481 (0.2478 - 0.2485),0.2334 (0.2290 - 0.2374),0.1554 (0.1509 - 0.1595),0.1435 (0.1404 - 0.1462),0.5578 (0.5519 - 0.5641),0.6258 (0.6163 - 0.6349),0.4457 (0.4419 - 0.4492)
Nationwide Cohort,339308,2077,Standard MLP,0.6902 (0.6871 - 0.6937),0.1838 (0.1823 - 0.1855),0.3853 (0.3790 - 0.3908),0.3778 (0.3683 - 0.3878),0.2591 (0.2534 - 0.2635),0.7890 (0.7839 - 0.7939),0.7517 (0.7430 - 0.7607),0.6810 (0.6775 - 0.6844)
Nationwide Cohort,339308,2077,Standard Transformer,0.5764 (0.5719 - 0.5800),0.2483 (0.2480 - 0.2487),0.2327 (0.2275 - 0.2381),0.1567 (0.1525 - 0.1615),0.1519 (0.1482 - 0.1554),0.5641 (0.5581 - 0.5699),0.4973 (0.4874 - 0.5075),0.5881 (0.5839 - 0.5922)
Texas Cohort,62449,758,HIR-M3 Transformer,0.6313 (0.6234 - 0.6387),0.2107 (0.2075 - 0.2139),0.3932 (0.3794 - 0.4058),0.4030 (0.3762 - 0.4270),0.2594 (0.2478 - 0.2700),0.7803 (0.7701 - 0.7908),0.8118 (0.7945 - 0.8294),0.6001 (0.5913 - 0.6095)
Texas Cohort,62449,758,SAINT Transformer,0.5786 (0.5698 - 0.5875),0.2603 (0.2563 - 0.2640),0.3729 (0.3598 - 0.3859),0.3839 (0.3548 - 0.4081),0.2388 (0.2293 - 0.2492),0.7768 (0.7661 - 0.7863),0.8514 (0.8357 - 0.8683),0.5316 (0.5232 - 0.5417)
Texas Cohort,62449,758,Standard MLP,0.7345 (0.7274 - 0.7424),0.1699 (0.1664 - 0.1732),0.4341 (0.4177 - 0.4495),0.4238 (0.4012 - 0.4473),0.3163 (0.3027 - 0.3311),0.7932 (0.7823 - 0.8043),0.6919 (0.6708 - 0.7124),0.7419 (0.7341 - 0.7497)
Texas Cohort,62449,758,Standard Transformer,0.6475 (0.6389 - 0.6553),0.2077 (0.2047 - 0.2105),0.3984 (0.3843 - 0.4104),0.3939 (0.3668 - 0.4171),0.2660 (0.2546 - 0.2766),0.7782 (0.7683 - 0.7882),0.7930 (0.7748 - 0.8100),0.6224 (0.6144 - 0.6324)
Nationwide Cohort - Rural,114867,2077,CatBoost,0.8127 (0.8078 - 0.8180),0.1714 (0.1691 - 0.1736),0.4670 (0.4530 - 0.4817),0.4451 (0.4286 - 0.4620),0.3910 (0.3772 - 0.4059),0.8216 (0.8152 - 0.8296),0.5796 (0.5630 - 0.5957),0.8511 (0.8460 - 0.8561)
Nationwide Cohort - Rural,114867,2077,Gradient Boosting,0.7862 (0.7804 - 0.7922),0.1823 (0.1805 - 0.1842),0.4447 (0.4329 - 0.4584),0.4115 (0.3963 - 0.4295),0.3517 (0.3398 - 0.3641),0.8053 (0.7982 - 0.8141),0.6047 (0.5893 - 0.6201),0.8161 (0.8100 - 0.8220)
Nationwide Cohort - Rural,114867,2077,LightGBM,0.7857 (0.7807 - 0.7907),0.1519 (0.1495 - 0.1540),0.4517 (0.4397 - 0.4643),0.4271 (0.4123 - 0.4436),0.3541 (0.3429 - 0.3653),0.8148 (0.8082 - 0.8223),0.6237 (0.6075 - 0.6418),0.8124 (0.8070 - 0.8179)
Nationwide Cohort - Rural,114867,2077,Logistic Regression,0.8006 (0.7950 - 0.8058),0.1828 (0.1804 - 0.1855),0.4218 (0.4082 - 0.4358),0.3950 (0.3791 - 0.4133),0.3578 (0.3444 - 0.3708),0.7885 (0.7803 - 0.7954),0.5139 (0.4983 - 0.5313),0.8478 (0.8426 - 0.8530)
Nationwide Cohort - Rural,114867,2077,Random Forest,0.7523 (0.7464 - 0.7577),0.1379 (0.1363 - 0.1395),0.4160 (0.4037 - 0.4286),0.3551 (0.3410 - 0.3702),0.3123 (0.3016 - 0.3235),0.7761 (0.7679 - 0.7834),0.6232 (0.6068 - 0.6396),0.7736 (0.7676 - 0.7793)
Nationwide Cohort - Rural,114867,2077,XGBoost,0.8081 (0.8029 - 0.8134),0.1617 (0.1594 - 0.1639),0.4566 (0.4423 - 0.4698),0.4376 (0.4221 - 0.4539),0.3811 (0.3672 - 0.3943),0.8174 (0.8109 - 0.8244),0.5695 (0.5527 - 0.5849),0.8475 (0.8428 - 0.8528)
Nationwide Cohort - Urban,224440,2077,CatBoost,0.8202 (0.8165 - 0.8238),0.1743 (0.1724 - 0.1763),0.4427 (0.4333 - 0.4530),0.4130 (0.3988 - 0.4259),0.3563 (0.3454 - 0.3660),0.8274 (0.8214 - 0.8329),0.5845 (0.5722 - 0.5981),0.8530 (0.8492 - 0.8561)
Nationwide Cohort - Urban,224440,2077,Gradient Boosting,0.7979 (0.7940 - 0.8016),0.1843 (0.1831 - 0.1859),0.4175 (0.4086 - 0.4269),0.3741 (0.3607 - 0.3874),0.3222 (0.3136 - 0.3306),0.8079 (0.8015 - 0.8137),0.5928 (0.5810 - 0.6039),0.8264 (0.8230 - 0.8298)
Nationwide Cohort - Urban,224440,2077,LightGBM,0.8182 (0.8147 - 0.8219),0.1587 (0.1568 - 0.1607),0.4373 (0.4269 - 0.4472),0.4038 (0.3896 - 0.4167),0.3516 (0.3414 - 0.3613),0.8255 (0.8192 - 0.8304),0.5783 (0.5637 - 0.5907),0.8516 (0.8484 - 0.8549)
Nationwide Cohort - Urban,224440,2077,Logistic Regression,0.7889 (0.7855 - 0.7931),0.1836 (0.1819 - 0.1854),0.4052 (0.3961 - 0.4148),0.3711 (0.3570 - 0.3839),0.3090 (0.3005 - 0.3182),0.7965 (0.7903 - 0.8020),0.5885 (0.5770 - 0.6014),0.8168 (0.8133 - 0.8201)
Nationwide Cohort - Urban,224440,2077,Random Forest,0.7652 (0.7610 - 0.7693),0.1384 (0.1373 - 0.1394),0.3863 (0.3774 - 0.3974),0.3206 (0.3093 - 0.3324),0.2838 (0.2761 - 0.2937),0.7751 (0.7685 - 0.7825),0.6047 (0.5909 - 0.6190),0.7875 (0.7828 - 0.7915)
Nationwide Cohort - Urban,224440,2077,XGBoost,0.7943 (0.7905 - 0.7980),0.1652 (0.1634 - 0.1673),0.4293 (0.4193 - 0.4394),0.4111 (0.3979 - 0.4243),0.3247 (0.3162 - 0.3346),0.8254 (0.8190 - 0.8300),0.6332 (0.6207 - 0.6452),0.8167 (0.8129 - 0.8205)
Texas Cohort - Rural,25931,758,CatBoost,0.7540 (0.7436 - 0.7636),0.1567 (0.1520 - 0.1611),0.4599 (0.4400 - 0.4823),0.4495 (0.4168 - 0.4848),0.3423 (0.3219 - 0.3632),0.8154 (0.8011 - 0.8298),0.7011 (0.6694 - 0.7327),0.7633 (0.7518 - 0.7756)
Texas Cohort - Rural,25931,758,Gradient Boosting,0.7475 (0.7366 - 0.7586),0.1654 (0.1609 - 0.1699),0.4732 (0.4531 - 0.4939),0.4420 (0.4101 - 0.4732),0.3439 (0.3231 - 0.3639),0.8192 (0.8039 - 0.8332),0.7592 (0.7314 - 0.7873),0.7455 (0.7334 - 0.7574)
Texas Cohort - Rural,25931,758,LightGBM,0.7047 (0.6915 - 0.7168),0.1244 (0.1187 - 0.1300),0.4338 (0.4126 - 0.4574),0.4281 (0.3957 - 0.4625),0.3041 (0.2851 - 0.3241),0.8010 (0.7862 - 0.8166),0.7573 (0.7326 - 0.7891),0.6955 (0.6825 - 0.7095)
Texas Cohort - Rural,25931,758,Logistic Regression,0.7826 (0.7725 - 0.7926),0.1760 (0.1708 - 0.1815),0.4640 (0.4411 - 0.4895),0.4348 (0.4036 - 0.4659),0.3674 (0.3465 - 0.3948),0.8065 (0.7916 - 0.8213),0.6298 (0.6022 - 0.6622),0.8095 (0.7993 - 0.8196)
Texas Cohort - Rural,25931,758,Random Forest,0.7335 (0.7197 - 0.7432),0.1184 (0.1144 - 0.1233),0.4312 (0.4079 - 0.4532),0.3762 (0.3439 - 0.4032),0.3166 (0.2962 - 0.3381),0.7772 (0.7591 - 0.7921),0.6762 (0.6469 - 0.7079),0.7436 (0.7306 - 0.7542)
Texas Cohort - Rural,25931,758,XGBoost,0.7028 (0.6919 - 0.7147),0.1412 (0.1362 - 0.1464),0.4380 (0.4162 - 0.4608),0.4352 (0.4020 - 0.4683),0.3053 (0.2856 - 0.3259),0.8065 (0.7909 - 0.8200),0.7753 (0.7486 - 0.7998),0.6900 (0.6781 - 0.7028)
Texas Cohort - Urban,36518,758,CatBoost,0.7691 (0.7596 - 0.7778),0.1587 (0.1549 - 0.1633),0.4552 (0.4337 - 0.4748),0.4480 (0.4184 - 0.4791),0.3460 (0.3234 - 0.3637),0.8179 (0.8058 - 0.8297),0.6651 (0.6343 - 0.6914),0.7867 (0.7768 - 0.7967)
Texas Cohort - Urban,36518,758,Gradient Boosting,0.7796 (0.7709 - 0.7886),0.1686 (0.1648 - 0.1729),0.4564 (0.4367 - 0.4747),0.4399 (0.4100 - 0.4701),0.3554 (0.3344 - 0.3722),0.8167 (0.8045 - 0.8281),0.6379 (0.6089 - 0.6667),0.8037 (0.7933 - 0.8123)
Texas Cohort - Urban,36518,758,LightGBM,0.7420 (0.7315 - 0.7513),0.1302 (0.1260 - 0.1349),0.4335 (0.4108 - 0.4540),0.4209 (0.3876 - 0.4506),0.3181 (0.2980 - 0.3375),0.8004 (0.7860 - 0.8114),0.6808 (0.6526 - 0.7077),0.7524 (0.7423 - 0.7622)
Texas Cohort - Urban,36518,758,Logistic Regression,0.7845 (0.7756 - 0.7934),0.1771 (0.1726 - 0.1820),0.4429 (0.4235 - 0.4652),0.4262 (0.3959 - 0.4559),0.3543 (0.3344 - 0.3751),0.7997 (0.7864 - 0.8122),0.5909 (0.5636 - 0.6250),0.8173 (0.8073 - 0.8266)
Texas Cohort - Urban,36518,758,Random Forest,0.7285 (0.7185 - 0.7380),0.1202 (0.1161 - 0.1236),0.3980 (0.3810 - 0.4190),0.3448 (0.3225 - 0.3717),0.2934 (0.2770 - 0.3114),0.7589 (0.7443 - 0.7725),0.6189 (0.5922 - 0.6485),0.7471 (0.7363 - 0.7568)
Texas Cohort - Urban,36518,758,XGBoost,0.7816 (0.7720 - 0.7916),0.1474 (0.1433 - 0.1520),0.4347 (0.4120 - 0.4560),0.4169 (0.3869 - 0.4441),0.3480 (0.3259 - 0.3694),0.7987 (0.7861 - 0.8106),0.5791 (0.5506 - 0.6075),0.8159 (0.8058 - 0.8247)
Nationwide Cohort - Rural,339307,2077,HIR-M3 Transformer,0.6701 (0.6670 - 0.6735),0.2474 (0.2468 - 0.2479),0.2462 (0.2406 - 0.2515),0.1732 (0.1692 - 0.1786),0.1744 (0.1699 - 0.1788),0.5935 (0.5883 - 0.5988),0.4183 (0.4097 - 0.4284),0.7073 (0.7043 - 0.7106)
Nationwide Cohort - Rural,339307,2077,SAINT Transformer,0.5103 (0.5069 - 0.5143),0.2399 (0.2393 - 0.2406),0.2517 (0.2471 - 0.2563),0.1756 (0.1712 - 0.1811),0.1567 (0.1535 - 0.1603),0.5966 (0.5917 - 0.6020),0.6395 (0.6300 - 0.6491),0.4912 (0.4876 - 0.4955)
Nationwide Cohort - Rural,339307,2077,Standard MLP,0.8006 (0.7975 - 0.8038),0.1829 (0.1815 - 0.1843),0.4169 (0.4084 - 0.4259),0.3739 (0.3636 - 0.3853),0.3343 (0.3269 - 0.3432),0.7890 (0.7838 - 0.7934),0.5536 (0.5420 - 0.5631),0.8371 (0.8341 - 0.8400)
Nationwide Cohort - Rural,339307,2077,Standard Transformer,0.6715 (0.6679 - 0.6748),0.2448 (0.2442 - 0.2453),0.2439 (0.2380 - 0.2493),0.1720 (0.1676 - 0.1765),0.1733 (0.1689 - 0.1775),0.5930 (0.5877 - 0.5984),0.4115 (0.4031 - 0.4220),0.7099 (0.7065 - 0.7133)
Nationwide Cohort - Urban,339307,2077,HIR-M3 Transformer,0.4193 (0.4155 - 0.4229),0.2439 (0.2433 - 0.2445),0.2487 (0.2446 - 0.2531),0.1753 (0.1713 - 0.1807),0.1492 (0.1463 - 0.1525),0.5945 (0.5886 - 0.6006),0.7463 (0.7377 - 0.7550),0.3709 (0.3672 - 0.3747)
Nationwide Cohort - Urban,339307,2077,SAINT Transformer,0.6185 (0.6153 - 0.6217),0.2293 (0.2286 - 0.2301),0.2478 (0.2426 - 0.2528),0.1740 (0.1700 - 0.1791),0.1661 (0.1621 - 0.1698),0.5930 (0.5878 - 0.5984),0.4881 (0.4796 - 0.4971),0.6377 (0.6343 - 0.6412)
Nationwide Cohort - Urban,339307,2077,Standard MLP,0.8252 (0.8222 - 0.8282),0.1773 (0.1756 - 0.1786),0.4105 (0.4014 - 0.4198),0.3707 (0.3619 - 0.3826),0.3628 (0.3539 - 0.3724),0.7893 (0.7841 - 0.7945),0.4726 (0.4621 - 0.4835),0.8773 (0.8747 - 0.8804)
Nationwide Cohort - Urban,339307,2077,Standard Transformer,0.6381 (0.6347 - 0.6411),0.2499 (0.2493 - 0.2505),0.2461 (0.2407 - 0.2515),0.1700 (0.1655 - 0.1742),0.1681 (0.1642 - 0.1723),0.5920 (0.5867 - 0.5977),0.4586 (0.4484 - 0.4676),0.6646 (0.6614 - 0.6681)
Texas Cohort - Rural,62449,758,HIR-M3 Transformer,0.8049 (0.7987 - 0.8116),0.1724 (0.1695 - 0.1755),0.4199 (0.4005 - 0.4413),0.3992 (0.3734 - 0.4237),0.3733 (0.3525 - 0.3911),0.7804 (0.7703 - 0.7908),0.4800 (0.4545 - 0.5026),0.8609 (0.8550 - 0.8674)
Texas Cohort - Rural,62449,758,SAINT Transformer,0.6888 (0.6814 - 0.6959),0.2093 (0.2055 - 0.2130),0.4105 (0.3950 - 0.4238),0.3921 (0.3637 - 0.4175),0.2846 (0.2722 - 0.2965),0.7802 (0.7703 - 0.7900),0.7364 (0.7156 - 0.7562),0.6806 (0.6731 - 0.6902)
Texas Cohort - Rural,62449,758,Standard MLP,0.7906 (0.7841 - 0.7977),0.1950 (0.1914 - 0.1983),0.4537 (0.4382 - 0.4726),0.4258 (0.4011 - 0.4493),0.3682 (0.3536 - 0.3877),0.7980 (0.7884 - 0.8076),0.5910 (0.5679 - 0.6145),0.8250 (0.8182 - 0.8328)
Texas Cohort - Rural,62449,758,Standard Transformer,0.7294 (0.7225 - 0.7368),0.1880 (0.1847 - 0.1912),0.4282 (0.4126 - 0.4422),0.4025 (0.3756 - 0.4265),0.3108 (0.2971 - 0.3247),0.7814 (0.7719 - 0.7914),0.6886 (0.6679 - 0.7097),0.7365 (0.7287 - 0.7443)
Texas Cohort - Urban,62449,758,HIR-M3 Transformer,0.7009 (0.6934 - 0.7077),0.1960 (0.1927 - 0.1993),0.4149 (0.3998 - 0.4295),0.3992 (0.3733 - 0.4219),0.2913 (0.2788 - 0.3042),0.7801 (0.7703 - 0.7896),0.7206 (0.6998 - 0.7420),0.6975 (0.6901 - 0.7060)
Texas Cohort - Urban,62449,758,SAINT Transformer,0.7174 (0.7089 - 0.7241),0.1954 (0.1922 - 0.1990),0.4150 (0.4010 - 0.4299),0.3925 (0.3657 - 0.4146),0.2984 (0.2855 - 0.3118),0.7738 (0.7643 - 0.7843),0.6810 (0.6594 - 0.7030),0.7237 (0.7147 - 0.7317)
Texas Cohort - Urban,62449,758,Standard MLP,0.7470 (0.7394 - 0.7548),0.1932 (0.1892 - 0.1969),0.4397 (0.4237 - 0.4562),0.4263 (0.3988 - 0.4515),0.3262 (0.3147 - 0.3420),0.7940 (0.7845 - 0.8048),0.6745 (0.6559 - 0.6968),0.7595 (0.7512 - 0.7679)
Texas Cohort - Urban,62449,758,Standard Transformer,0.7609 (0.7536 - 0.7682),0.1949 (0.1916 - 0.1980),0.4244 (0.4071 - 0.4408),0.3995 (0.3733 - 0.4231),0.3287 (0.3120 - 0.3428),0.7796 (0.7693 - 0.7898),0.5990 (0.5780 - 0.6200),0.7889 (0.7822 - 0.7961)
